# Digitized from: Zarruk, Brandner, Pearce & Phillips (2014), "Experimental study of the
# steady fluid-structure interaction of flexible hydrofoils", J. Fluids & Structures 51:326-343.
# Source: author-accepted manuscript (preprint dated 1 Sep 2014), Figure 8 (p.13), right panel.
# Foil: TypeI-AL; series Re_c = 0.4e6 (chord-based, mean chord c=0.09 m).
# Method: 600-dpi page render; axis calibration from frame lines cross-checked against the
#   in-figure alpha=0 and CL=0 dashed lines (agreement < 1 px). Marker centers located by
#   color segmentation + morphological marker-core detection; cross-checked by overlaying
#   extracted points on the source figure.
# Coefficients per paper: CL=2L/(rho U^2 s c), CD=2D/(rho U^2 s c), CM=2M/(rho U^2 s c^2),
#   moments about mid-chord; flow-fixed axes; s=0.3 m span, c=0.09 m mean chord.
# Quality flags: A = clean marker (est. reading error +/-0.003 CL, +/-0.0015 CD/CM);
#   B = partially occluded / deblended / column-centroid (est. +/-0.006 CL, +/-0.003 CD/CM);
#   C = fragment or merged cluster (est. +/-0.015 CL, +/-0.008 CD/CM) - use with caution.
# Empty value = marker not visible in figure (data occluded by an overlying Re series that
#   coincides within plot resolution, i.e. within ~0.005 in CL / ~0.003 in CD,CM).
# Measurement uncertainty stated by the paper: force balance precision <0.5 percent of
#   full calibration on all six components; incidence absolute position <0.1 deg,
#   incremental precision <0.001 deg.
alpha_deg,CL,CL_q,CD,CD_q,CM,CM_q,note
2.0,0.1659,C,,,,,
2.5,0.2107,B,,,,,
3.0,0.2588,B,,,,,
3.5,0.3027,B,,,0.0685,B,
4.0,0.3477,B,,,,,
5.5,0.4511,C,,,,,
6.0,0.4862,C,,,,,
6.5,0.5199,B,,,0.1423,C,CD-pruned-occlusion-artifact
7.0,0.5548,B,,,0.1532,C,CD-pruned-occlusion-artifact
7.5,0.589,B,,,0.1644,C,CD-pruned-occlusion-artifact
8.0,0.6242,B,0.0345,B,0.1745,C,
8.5,0.6579,B,0.0376,C,0.1832,C,
9.0,0.691,B,0.0404,C,0.1925,C,
9.5,0.7232,B,0.0444,B,0.203,C,
10.0,0.7494,B,0.0485,B,0.2084,C,
10.5,0.7522,B,,,,,
11.0,0.7613,B,0.1185,B,0.1793,B,
11.5,0.7631,B,0.1622,B,0.1622,C,CM-merged-with-other-branch
12.0,0.7533,B,,,0.1435,B,
12.5,0.7455,B,,,0.1292,B,
13.0,0.7342,B,,,0.12,B,
13.5,0.7236,B,,,0.1133,B,
14.0,0.7113,B,0.3557,C,0.1041,B,CD-merged-with-other-branch
14.5,0.7036,B,,,0.0989,B,
15.0,0.693,B,,,0.097,B,
