# Digitized from: Zarruk, Brandner, Pearce & Phillips (2014), "Experimental study of the
# steady fluid-structure interaction of flexible hydrofoils", J. Fluids & Structures 51:326-343.
# Source: author-accepted manuscript (preprint dated 1 Sep 2014), Figure 8 (p.13), left panel.
# Foil: TypeI-SS; series Re_c = 0.6e6 (chord-based, mean chord c=0.09 m).
# Method: 600-dpi page render; axis calibration from frame lines cross-checked against the
#   in-figure alpha=0 and CL=0 dashed lines (agreement < 1 px). Marker centers located by
#   color segmentation + morphological marker-core detection; cross-checked by overlaying
#   extracted points on the source figure.
# Coefficients per paper: CL=2L/(rho U^2 s c), CD=2D/(rho U^2 s c), CM=2M/(rho U^2 s c^2),
#   moments about mid-chord; flow-fixed axes; s=0.3 m span, c=0.09 m mean chord.
# Quality flags: A = clean marker (est. reading error +/-0.003 CL, +/-0.0015 CD/CM);
#   B = partially occluded / deblended / column-centroid (est. +/-0.006 CL, +/-0.003 CD/CM);
#   C = fragment or merged cluster (est. +/-0.015 CL, +/-0.008 CD/CM) - use with caution.
# Empty value = marker not visible in figure (data occluded by an overlying Re series that
#   coincides within plot resolution, i.e. within ~0.005 in CL / ~0.003 in CD,CM).
# Measurement uncertainty stated by the paper: force balance precision <0.5 percent of
#   full calibration on all six components; incidence absolute position <0.1 deg,
#   incremental precision <0.001 deg.
alpha_deg,CL,CL_q,CD,CD_q,CM,CM_q,note
-1.0,-0.0533,C,0.017,C,-0.0143,C,
-0.5,-0.0068,C,0.0176,C,-0.0034,C,CL-merged-with-other-branch CM-merged-with-other-branch
0.0,-0.0075,C,0.017,C,-0.0038,C,CL-merged-with-other-branch CM-merged-with-other-branch
0.5,,,0.0184,C,,,
1.0,0.0598,C,0.017,C,,,
1.5,,,0.0176,C,,,
2.0,0.1666,C,0.0176,C,0.0523,C,
2.5,0.2095,C,0.0174,C,0.0637,C,
3.0,0.2526,C,,,0.0752,C,CD-pruned-occlusion-artifact
3.5,0.3009,C,,,0.0861,C,CD-pruned-occlusion-artifact
4.0,0.3456,B,,,0.096,C,
4.5,0.3901,C,0.0223,C,0.1057,C,
5.0,,,,,0.115,C,
5.5,0.446,B,0.0262,C,0.1136,C,
6.0,0.4846,B,0.029,C,0.1244,C,
6.5,0.5214,B,0.0259,A,0.1406,A,
7.0,0.559,B,0.0274,A,0.1521,A,
7.5,0.5956,B,0.0292,A,0.1633,A,
8.0,0.6319,B,0.0322,A,0.1737,A,
8.5,0.6673,C,0.0352,A,0.1836,A,
9.0,0.7021,C,0.0382,A,0.1926,A,
9.5,0.7409,A,0.0422,A,0.2026,A,
10.0,0.7744,A,0.0452,A,0.2115,A,
10.5,0.8044,A,0.0497,B,0.2204,A,
11.0,0.7761,A,0.105,B,0.1926,A,
11.5,0.7744,A,0.1288,B,0.1718,A,
12.0,0.7744,A,0.1566,A,0.1566,C,CM-merged-with-other-branch
12.5,0.7684,A,0.1656,A,0.1438,A,
13.0,0.7684,A,0.1776,A,0.1367,A,
13.5,0.7631,A,0.1885,A,0.1309,A,
14.0,0.7592,A,0.1984,A,0.1258,A,
